house_age,distance_to_the_nearest_MRT_station,number_of_convenience_stores,latitude,longitude,house_price_of_unit_area
32,84.88,10,24.98,121.54,37.9
19.5,306.59,9,24.98,121.54,42.2
13.3,561.98,5,24.99,121.54,47.3
13.3,561.98,5,24.99,121.54,54.8
5,390.57,5,24.98,121.54,43.1
7.1,2175.03,3,24.96,121.51,32.1
34.5,623.47,7,24.98,121.54,40.3
20.3,287.6,6,24.98,121.54,46.7
31.7,5512.04,1,24.95,121.48,18.8
17.9,1783.18,3,24.97,121.51,22.1
34.8,405.21,1,24.97,121.53,41.4
6.3,90.46,9,24.97,121.54,58.1
13,492.23,5,24.97,121.54,39.3
20.4,2469.65,4,24.96,121.51,23.8
13.2,1164.84,4,24.99,121.53,34.3
35.7,579.21,2,24.98,121.55,50.5
0,293,6,24.98,121.54,70.1
17.7,350.85,1,24.98,121.53,37.4
16.9,368.14,8,24.97,121.54,42.3
1.5,23.38,7,24.97,121.54,47.7
4.5,2275.88,3,24.96,121.51,29.3
10.5,279.17,7,24.98,121.55,51.6
14.7,1360.14,1,24.95,121.55,24.6
10.1,279.17,7,24.98,121.55,47.9
39.6,480.7,4,24.97,121.54,38.8
29.3,1487.87,2,24.98,121.52,27
3.1,383.86,5,24.98,121.54,56.2
10.4,276.45,5,24.96,121.54,33.6
19.2,557.48,4,24.97,121.54,47
7.1,451.24,5,24.98,121.55,57.1
25.9,4519.69,0,24.95,121.5,22.1
29.6,769.4,7,24.98,121.53,25
37.9,488.57,1,24.97,121.53,34.2
16.5,323.66,6,24.98,121.54,49.3
15.4,205.37,7,24.98,121.54,55.1
13.9,4079.42,0,25.01,121.52,27.3
14.7,1935.01,2,24.96,121.51,22.9
12,1360.14,1,24.95,121.55,25.3
3.1,577.96,6,24.97,121.55,47.7
16.2,289.32,5,24.98,121.54,46.2
13.6,4082.02,0,24.94,121.5,15.9
16.8,4066.59,0,24.94,121.5,18.2
36.1,519.46,5,24.96,121.54,34.7
34.4,512.79,6,24.99,121.54,34.1
2.7,533.48,4,24.97,121.55,53.9
36.6,488.82,8,24.97,121.54,38.3
21.7,463.96,9,24.97,121.54,42
35.9,640.74,3,24.98,121.54,61.5
24.2,4605.75,0,24.95,121.5,13.4
29.4,4510.36,1,24.95,121.5,13.2
21.7,512.55,4,24.97,121.54,44.2
31.3,1758.41,1,24.95,121.55,20.7
32.1,1438.58,3,24.97,121.52,27
13.3,492.23,5,24.97,121.54,38.9
16.1,289.32,5,24.98,121.54,51.7
31.7,1160.63,0,24.95,121.53,13.7
33.6,371.25,8,24.97,121.54,41.9
3.5,56.47,7,24.96,121.54,53.5
30.3,4510.36,1,24.95,121.5,22.6
13.3,336.05,5,24.96,121.53,42.4
11,1931.21,2,24.96,121.51,21.3
5.3,259.66,6,24.98,121.55,63.2
17.2,2175.88,3,24.96,121.51,27.7
2.6,533.48,4,24.97,121.55,55
17.5,995.76,0,24.96,121.55,25.3
40.1,123.74,8,24.98,121.54,44.3
1,193.58,6,24.97,121.54,50.7
8.5,104.81,5,24.97,121.54,56.8
30.4,464.22,6,24.98,121.54,36.2
12.5,561.98,5,24.99,121.54,42
6.6,90.46,9,24.97,121.54,59
35.5,640.74,3,24.98,121.54,40.8
32.5,424.54,8,24.98,121.54,36.3
13.8,4082.02,0,24.94,121.5,20
6.8,379.56,10,24.98,121.54,54.4
12.3,1360.14,1,24.95,121.55,29.5
35.9,616.4,3,24.98,121.54,36.8
20.5,2185.13,3,24.96,121.51,25.6
38.2,552.44,2,24.98,121.53,29.8
18,1414.84,1,24.95,121.55,26.5
11.8,533.48,4,24.97,121.55,40.3
30.8,377.8,6,24.96,121.54,36.8
13.2,150.93,7,24.97,121.54,48.1
25.3,2707.39,3,24.96,121.51,17.7
15.1,383.28,7,24.97,121.54,43.7
0,338.97,9,24.97,121.54,50.8
1.8,1455.8,1,24.95,121.55,27
16.9,4066.59,0,24.94,121.5,18.3
8.9,1406.43,0,24.99,121.53,48
23,3947.95,0,24.95,121.5,25.3
0,274.01,1,24.97,121.53,45.4
9.1,1402.02,0,24.99,121.53,43.2
20.6,2469.65,4,24.96,121.51,21.8
31.9,1146.33,0,24.95,121.53,16.1
40.9,167.6,5,24.97,121.54,41
8,104.81,5,24.97,121.54,51.8
6.4,90.46,9,24.97,121.54,59.5
28.4,617.44,3,24.98,121.53,34.6
16.4,289.32,5,24.98,121.54,51
6.4,90.46,9,24.97,121.54,62.2
17.5,964.75,4,24.99,121.53,38.2
12.7,170.13,1,24.97,121.53,32.9
1.1,193.58,6,24.97,121.54,54.4
0,208.39,6,24.96,121.54,45.7
32.7,392.45,6,24.96,121.54,30.5
0,293,6,24.98,121.54,71
17.2,189.52,8,24.98,121.54,47.1
12.2,1360.14,1,24.95,121.55,26.6
31.4,592.5,2,24.97,121.54,34.1
4,2147.38,3,24.96,121.51,28.4
8.1,104.81,5,24.97,121.54,51.6
33.3,196.62,7,24.98,121.54,39.4
9.9,2102.43,3,24.96,121.51,23.1
14.8,393.26,6,24.96,121.54,7.6
30.6,143.84,8,24.98,121.54,53.3
20.6,737.92,2,24.98,121.55,46.4
30.9,6396.28,1,24.94,121.48,12.2
13.6,4197.35,0,24.94,121.5,13
